invoice_number,imported_as_packages,invoice_raw_imported
Y249W0374,14,44
Y3X198374,727,2436
Y43A99374,81,283
Y4438E374,63,206
Y699V3374,69,260
Y809X4374,17,54
Y8395V374,110,408
Y8799W374,7,21
Y98W13374,42,61
YR3755374,3,14
868R6F374,10,30
86936R374,33,130
871F27374,110,246
875W61374,250,919
87780X374,0,1
886V33374,22,66
89595F374,81,269
8977AX374,88,154
8E0644374,0,1
8FY689374,6,23
8R34R0374,733,2113
8R58A7374,0,1
8X8552374,12,25
910612374,28,84
914408374,45,114
914Y8F374,17,54
9309R0374,0,2
937478374,343,1033
958092374,260,615
963461374,272,680
979076374,22,45
997716374,22,75
99AY05374,130,408
9F978E374,7,26
9R8519374,0,1
9V194E374,8,31
9V242A374,0,1
9XF262374,10,46
A03E31374,0,1
A0826Y374,0,1
A0V108374,145,327
A1242R374,227,663
A1E223374,121,615
A1R951374,25,90
A20076374,16,34
A3F157374,4,19
A5670R374,33,98
A7223R374,50,257
A9026X374,103,384
AF6727374,151,449
AV5892374,501,1885
AY3954374,7,32
E04984374,44,254
E0534E374,1506,3251
E0758Y374,30,83
E13Y19374,55,58
E19031374,0,15
E20995374,4,15
E360E6374,91,242
E38580374,0,1
E6081W374,138,412
E78639374,0,1
E8657V374,18,61
EE0172374,43,138
EW9954374,95,275
F4372A374,5,12
F85903374,480,1538
R03629374,5,16
R1657A374,26,88
R51396374,0,1
R6R178374,0,1
R733X2374,8,19
R77225374,0,1
R8239X374,18,50
R893Y9374,0,1
R8Y086374,20,73
R8Y448374,0,1
RA0632374,55,179
RE5764374,62,124
RR0615374,3,12
RR3663374,0,1
RV2334374,127,285
RV9485374,3,6
RV9498374,2,4
RW1155374,14,47
RW7212374,5,10
RX8029374,0,1
V3158F374,18,41
V42130374,63,2520
V538W4374,35,105
V55234374,142,432
VY0811374,38,96
W85480374,60,155
X0857Y374,457,1269
X15958374,164,447
X2252X374,0,1
X2W286374,0,524
X3234W374,146,479
X37187374,16,51
X650A6374,0,1
X6901A374,24,61
X77152374,80,86
X832X6374,8,30
X92073374,41,175
Y50753374,160,337
Y7R014374,38,51
Y8666R374,222,460
Y867A1374,10,43
Y87F61374,7,123
Y8E603374,94,300
YW1420374,277,671
884YV6374,45,183
8877WR374,22,59
8921X9374,30,87
8AT142374,0,1
8E261A374,23,63
8R657V374,275,801
8V922X374,0,3
910YW4374,19,52
91515E374,264,811
923872374,60,131
936369374,3799,17575
939388374,221,484
951016374,53,81
95102A374,0,1
956652374,22,73
971425374,242,500
9E227W374,252,263
9E5886374,196,619
9VX790374,99,222
9X5605374,56,176
9Y31A7374,257,711
A00T14374,0,2
A0F877374,75,187
A0R243374,58,132
A0W996374,98,326
A167Y4374,50,126
A2381R374,0,1
A2450R374,29,71
A287W1374,17,42
A388X1374,596,1492
A5092E374,3,10
A6344R374,2573,9107
A643R0374,4,11
AT3461374,25,91
AX6554374,0,1
E08R54374,14,41
E2997R374,6,19
E2R188374,88,161
E32281374,21,69
E37950374,19,43
E39002374,3,12
E4A320374,38,119
E52A64374,22,73
E698A9374,4,10
E80A71374,3,12
E84115374,697,2404
EW5534374,29,84
F369V3374,94,291
F8E293374,704,2208
FF1948374,8,33
FY6069374,38,160
R0A222374,646,1890
R1148A374,87,270
R46309374,68,210
R55234374,0,1
R69Y21374,0,2
R6X948374,0,1
R703W2374,0,1
R72689374,0,1
R7543W374,41,730
R7X621374,0,1
R93526374,8,27
RF8761374,2,6
RF9675374,6,21
RR6054374,94,400
RR7456374,0,1
RV7762374,1,2
RY1722374,0,1
V333E5374,144,479
V37317374,0,1
V39A43374,250,256
V4235E374,64,234
V48059374,12,43
V528A0374,16,61
V777W6374,427,1326
V877W4374,25,58
V94F50374,163,539
VA9783374,0,1
W37W50374,36,39
W7131R374,0,1
W8053R374,5,18
WA1231374,173,537
X00021374,526,1136
X11Y02374,0,1
X1247Y374,30,82
X19F94374,71,230
X2822F374,7,20
X29265374,59,143
X31512374,123,280
X5925Y374,130,317
X64524374,218,662
X67270374,1,6
X758X8374,410,1028
X89188374,62,584
X8V187374,7,14
XR6510374,9,34
XW5660374,10,30
Y08Y67374,24,42
Y1523R374,252,487
Y243X3374,89,274
Y49R04374,9,51
Y8F002374,55,174
Y96926374,54,111
